kr,k,a_ltb,p,q,tw,tr
51.0,40.0,0.0,-1.971,-1.971,0.00017523765563964844,1676478610.383252
52.0,41.0,0.0,-1.971,-1.971,0.00013303756713867188,1676478610.388412
53.0,42.0,0.0,-1.971,-1.971,0.00013208389282226562,1676478610.389427
54.0,43.0,0.0,-1.971,-1.971,0.00017523765563964844,1676478610.3922777
55.0,44.0,0.0,-1.971,-1.971,0.0001323223114013672,1676478610.3942478
56.0,45.0,0.0,-1.971,-1.971,0.00014209747314453125,1676478610.399461
57.0,46.0,0.0,-1.971,-1.971,0.0001919269561767578,1676478610.4034781
58.0,47.0,0.0,-1.971,-1.971,0.00015211105346679688,1676478610.4090421
59.0,48.0,0.0,-1.971,-1.971,0.00016188621520996094,1676478610.414052
60.0,49.0,0.0,-1.971,-1.971,0.00014710426330566406,1676478610.416957
61.0,50.0,0.0,-1.971,-1.971,0.0002319812774658203,1676478610.422693
62.0,51.0,0.0,-1.971,-1.971,0.0002732276916503906,1676478610.424878
63.0,52.0,0.0,-1.971,-1.971,0.0001289844512939453,1676478610.4281323
64.0,53.0,0.0,-1.971,-1.971,0.0001437664031982422,1676478610.433257
65.0,54.0,0.0,-1.971,-1.971,0.00014400482177734375,1676478610.436048
66.0,55.0,0.0,-1.971,-1.971,0.0001461505889892578,1676478610.441365
67.0,56.0,0.0,-1.971,-1.971,0.0001938343048095703,1676478610.446649
68.0,57.0,0.0,-1.971,-1.971,0.0001671314239501953,1676478610.450855
69.0,58.0,0.0,-1.971,-1.971,0.0002307891845703125,1676478610.4560199
70.0,59.0,0.0,-1.971,-1.971,0.00015401840209960938,1676478610.459749
71.0,60.0,0.0,-1.971,-1.971,0.00014495849609375,1676478610.464874
72.0,61.0,0.0,-1.971,-1.971,0.0001380443572998047,1676478610.470447
73.0,62.0,0.0,-1.971,-1.971,0.00017881393432617188,1676478610.4757252
74.0,63.0,0.0,-1.971,-1.971,0.00016069412231445312,1676478610.47665
75.0,64.0,0.0,-1.971,-1.971,0.00017714500427246094,1676478610.4821398
76.0,65.0,0.0,-1.971,-1.971,0.0001609325408935547,1676478610.482476
77.0,66.0,0.0,-1.971,-1.971,0.0001270771026611328,1676478610.4881
78.0,67.0,0.0,-1.971,-1.971,0.0001659393310546875,1676478610.4933212
79.0,68.0,0.0,-1.971,-1.971,0.00014162063598632812,1676478610.498243
80.0,69.0,0.0,-1.971,-1.971,0.00013399124145507812,1676478610.50139
81.0,70.0,0.0,-1.971,-1.971,0.0002009868621826172,1676478610.506987
82.0,71.0,0.0,-1.971,-1.971,0.0002079010009765625,1676478610.5122
83.0,72.0,0.0,-1.971,-1.971,0.00016999244689941406,1676478610.5169322
84.0,73.0,0.0,-1.971,-1.971,0.00012636184692382812,1676478610.5222187
85.0,74.0,0.0,-1.971,-1.971,0.0001380443572998047,1676478610.527204
86.0,75.0,0.0,-1.971,-1.971,0.00014281272888183594,1676478610.5325952
87.0,76.0,0.0,-1.971,-1.971,0.00014328956604003906,1676478610.5351748
88.0,77.0,0.0,-1.971,-1.971,0.0003287792205810547,1676478610.5363393
89.0,78.0,0.0,-1.971,-1.971,0.00017118453979492188,1676478610.5365028
